 COL _id VAL 27049 	  COL ltable.Product_id VAL 489 	  COL rtable.ID VAL AM0877 	  COL ltable.Description VAL MAKE UP FOR EVER full cover concealer 	  COL ltable.Price VAL $32.00 	  COL ltable.Color VAL Sand 7 	  COL rtable.Color VAL Vanilla 5 	  COL rtable.Price VAL $35.00 	  COL rtable.Description VAL MAKE UP FOR EVER Full Cover Concealer Vanilla 5 0.5 oz 	  	 0
 COL _id VAL 18198 	  COL ltable.Product_id VAL 815 	  COL rtable.ID VAL AM1888 	  COL ltable.Description VAL Bobbi Brown sheer finish pressed powder 	  COL ltable.Price VAL $38.00 	  COL ltable.Color VAL Pale Yellow 	  COL rtable.Color VAL Pale Yellow 	  COL rtable.Price VAL $48.00 	  COL rtable.Description VAL Bobbi Brown Bobbi Brown Sheer Finish Pressed Powder - Pale Yellow, .38 oz 	  	 1
 COL _id VAL 11001 	  COL ltable.Product_id VAL 4974 	  COL rtable.ID VAL AM5434 	  COL ltable.Description VAL Laura Mercier secret camouflage 	  COL ltable.Price VAL $34.00 	  COL ltable.Color VAL SC-3 	  COL rtable.Color VAL SC-4 	  COL rtable.Price VAL $34.00 	  COL rtable.Description VAL Laura Mercier Secret Camouflage - Sc-4 	  	 0
 COL _id VAL 5935 	  COL ltable.Product_id VAL 8817 	  COL rtable.ID VAL AM2776 	  COL ltable.Description VAL tarte lipsurgence lip tint 	  COL ltable.Price VAL 24 	  COL ltable.Color VAL Elite 	  COL rtable.Color VAL Energy 	  COL rtable.Price VAL $35.40 	  COL rtable.Description VAL Tarte Lipsurgence Skintuitive Lip Tint - Energy (.10 oz) 	  	 0
 COL _id VAL 2367 	  COL ltable.Product_id VAL 1918 	  COL rtable.ID VAL AM0005 	  COL ltable.Description VAL NARS pressed powder 	  COL ltable.Price VAL 36 	  COL ltable.Color VAL Beach 	  COL rtable.Color VAL nan 	  COL rtable.Price VAL $45.00 	  COL rtable.Description VAL NARS Light Reflecting Pressed Powder 	  	 0
 COL _id VAL 29397 	  COL ltable.Product_id VAL 972 	  COL rtable.ID VAL AM2141 	  COL ltable.Description VAL CLINIQUE chubby stick moisturizing lip colour balm 	  COL ltable.Price VAL $17.00 	  COL ltable.Color VAL Two Ton Tomato 	  COL rtable.Color VAL  Woppin" Watermelon 	  COL rtable.Price VAL $52.78 	  COL rtable.Description VAL Clinique - Chubby Stick Moisturizing Lip Colour Balm - # 6 Woppin' Watermelon (0.1 oz.) 1 pcs sku# 1900553MA 	  	 0
 COL _id VAL 204 	  COL ltable.Product_id VAL 743 	  COL rtable.ID VAL AM1630 	  COL ltable.Description VAL NARS brow gel 	  COL ltable.Price VAL 23 	  COL ltable.Color VAL nan 	  COL rtable.Color VAL Kinshasa 	  COL rtable.Price VAL $25.17 	  COL rtable.Description VAL Nars Brow Gel Kinshasa 7Ml/0.21Oz 	  	 0
 COL _id VAL 2457 	  COL ltable.Product_id VAL 2248 	  COL rtable.ID VAL AM5020 	  COL ltable.Description VAL CLINIQUE brow shaper 	  COL ltable.Price VAL 16.5 	  COL ltable.Color VAL Wheat  	  COL rtable.Color VAL Charcoaled 	  COL rtable.Price VAL $29.90 	  COL rtable.Description VAL Clinique Brow Shaper Charcoaled 	  	 0
 COL _id VAL 12352 	  COL ltable.Product_id VAL 665 	  COL rtable.ID VAL AM1359 	  COL ltable.Description VAL Giorgio Armani luminous silk foundation 	  COL ltable.Price VAL $62.00 	  COL ltable.Color VAL 4 	  COL rtable.Color VAL 4.75 	  COL rtable.Price VAL $62.00 	  COL rtable.Description VAL Giorgio Armani Luminous Silk Foundation 1oz - # 4.75, (BNIB) 	  	 0
 COL _id VAL 4563 	  COL ltable.Product_id VAL 3729 	  COL rtable.ID VAL AM1149 	  COL ltable.Description VAL Dior diorshow mascara 	  COL ltable.Price VAL 27.5 	  COL ltable.Color VAL Purple 168 	  COL rtable.Color VAL 099 Kohl Black 	  COL rtable.Price VAL $59.99 	  COL rtable.Description VAL Dior Diorshow Black Out Mascara Size 0.33 Oz Color Kohl Black 099 - Rich Black 	  	 0
 COL _id VAL 25515 	  COL ltable.Product_id VAL 7348 	  COL rtable.ID VAL AM1698 	  COL ltable.Description VAL NARS larger than life lip gloss 	  COL ltable.Price VAL $26.00 	  COL ltable.Color VAL Rouge Tribal 	  COL rtable.Color VAL Flamingo Pink 	  COL rtable.Price VAL $49.99 	  COL rtable.Description VAL Nars Larger Than Life Lip Gloss Color Paris Follies - Flamingo Pink 	  	 0
